Apyg. Nr. Apylinkės sąraše;Apygardos pavadinimas;Apyl. Nr.;Apylinkės pavadinimas;Rinkėjų skaičius Iš viso;Iš viso vyrų;Iš viso moterų
1;Akmenės rajono;1;1 - Senamiesčio;1294;591;703
1;Akmenės rajono;2;2 - V. Kudirkos;1668;653;1015
1;Akmenės rajono;3;3 - Respublikos;1591;655;936
1;Akmenės rajono;4;4 - Ramučių;1170;521;649
1;Akmenės rajono;5;5 - Agluonų;339;166;173
1;Akmenės rajono;6;6 - Akmenės 1-oji;1936;872;1064
1;Akmenės rajono;7;7 - Alkiškių;352;178;174
1;Akmenės rajono;8;8 - Daubiškių;617;308;309
1;Akmenės rajono;9;9 - Kairiškių;258;139;119
1;Akmenės rajono;10;10 - Gulbinų;693;353;340
1;Akmenės rajono;11;11 - Kivylių;392;199;193
1;Akmenės rajono;12;12 - Kruopių;620;313;307
1;Akmenės rajono;15;15 - Pavenčio;1210;556;654
1;Akmenės rajono;16;16 - Papilės;1195;600;595
1;Akmenės rajono;17;17 - Luokavos;417;217;200
1;Akmenės rajono;18;18 - Sablauskių;328;158;170
1;Akmenės rajono;19;19 - Ventos;1252;552;700
1;Akmenės rajono;24;24 - Naujamiesčio;874;429;445
2;Alytaus miesto;1;1 - Amatų;1140;517;623
2;Alytaus miesto;2;2 - A. Ramanausko-Vanago;1371;622;749
2;Alytaus miesto;3;3 - Centro;1411;609;802
2;Alytaus miesto;4;4 - A. Matučio;1939;844;1095
2;Alytaus miesto;5;5 - Santaikos;1084;482;602
2;Alytaus miesto;6;6 - Pirmo Alytaus;2683;1263;1420
2;Alytaus miesto;8;8 - Naujoji;2934;1188;1746
2;Alytaus miesto;9;9 - Statybininkų;1339;557;782
2;Alytaus miesto;10;10 - Vilties;1762;737;1025
2;Alytaus miesto;11;11 - Sporto;1854;791;1063
2;Alytaus miesto;12;12 - Putinų;1751;752;999
2;Alytaus miesto;13;13 - Šaltinių;2415;1088;1327
2;Alytaus miesto;14;14 - Ūdrijos;1064;481;583
2;Alytaus miesto;17;17 - Gulbynės;3359;1453;1906
2;Alytaus miesto;18;18 - Vidzgirio;2643;1120;1523
2;Alytaus miesto;19;19 - Jotvingių;2122;916;1206
2;Alytaus miesto;20;20 - Topolių;1596;661;935
2;Alytaus miesto;21;21 - Volungės;3028;1301;1727
2;Alytaus miesto;22;22 - Jaunimo;2058;851;1207
2;Alytaus miesto;23;23 - Jurgiškių;2384;1069;1315
2;Alytaus miesto;24;24 - Likiškėlių;3110;1350;1760
3;Alytaus rajono;2;2 - Mikutiškių;748;388;360
3;Alytaus rajono;3;3 - Genių;383;203;180
3;Alytaus rajono;4;4 - Miklusėnų;1277;648;629
3;Alytaus rajono;6;6 - Luksnėnų;1034;528;506
3;Alytaus rajono;8;8 - Geištarų;1112;561;551
3;Alytaus rajono;9;9 - Miroslavo;1136;590;546
3;Alytaus rajono;12;12 - Parėčėnų;477;258;219
